title,salary,experience,busyness,location,description,link
Продавец,85 000 — 120 000 ₽/месяц,Опыт не нужен,,Ищем кандидата из: г. Москва и др. городов,"Вакансии Продажи Бытовая техника, электроника, фото, видео Продавец 85 000 — 120 000 ₽/месяц Отклик без резюме Опыт не нужен Ищем кандидата из: г. Москва и др. городов г. Москва, ул. Шоссейная, д. 1/2, с. 4, ТЦ Сирень Опыт работы не требуется, среднее специальное образование, сменный график работы Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: ДМС со стоматологией Оплату мобильной связи на 1500 в месяц 2 дополнительных дня отпуска от компании – всего 30 отпускных дней Скидки для сотрудников на технику и продукты билайна Оформление на трудовой договор Доход, состоящий из окладной и премиальной частей Офис рядом с домом График работы 5/2 с плавающими выходными В нашем офисе обслуживания ты будешь: Консультировать клиентов Настраивать тарифы абонентам билайна Подключать услуги и сервисы Опыт в продажах не требуется. У тебя будет мобильное приложение, в котором есть все характеристики гаджетов и тарифов. Ты сможешь легко отвечать на любые вопросы клиентов. Приступить к работе можно всего за 3 дня: 1. Нажми «откликнуться» и мы перезвоним в течение рабочего дня 2. Пригласим в ближайший офис для встречи с руководителем 3. Подпишем договор Будет преимуществом опыт работы в должностях: менеджер по работе с клиентами, специалист салона связи, администратор, кассир, сервисный специалист, мерчандайзер, кредитный специалист, оператор колл центра, курьер, менеджер по продажам, продавец-консультант, специалист по продажам, менеджер офиса продаж, промоутер. Тебе понравится в билайне, если работал в компаниях: Яндекс, СБЕР, Тинькофф, Пятерочка, Магнит, Самокат, Яндекс Доставка, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/prodavec-50717319.html
Портной-стилист (МФК Северное Нагорное),от 80 000 ₽/месяц,Опыт не нужен,,Мурманск,"Вакансии Промышленность, производство Легкая промышленность Портной-стилист (МФК Северное Нагорное) от 80 000 ₽/месяц Опыт не нужен Старт карьеры Мурманск Показать на карте Опыт работы не требуется, среднее специальное образование, сменный график работы Дом Моды HENDERSON Клиент SuperJob с 2004 года Более 1 000 сотрудников Дом моды HENDERSON более 20 лет предлагает мужчинам элегантную и стильную одежду для работы и отдыха. Сегодня HENDERSON присутствует более... Наши портные-стилисты Su Misura помогают клиентам создавать свой неповторимый образ по индивидуальным меркам и с подбором большого выбора тканей. Если Вам интересно развиваться в сфере пошива и стилистике мужской одежды, ознакомьтесь с описанием вакансии ниже и оставляйте отклик. Возможно, мы ждем именно Вас! Мы предлагаем: Официальное трудоустройство; Работу в лидирующей сети модной мужской одежды; Достойное вознаграждение в соответствии с достигнутыми результатами (гарантированный оклад + ежемесячные премии + личный бонус); Северная надбавка в максимальном размере с первого рабочего дня, независимо от возраста, стажа работы и срока проживания в регионе; График работы 2/2; Полис ДМС (по истечении 3 месяцев работы в Компании); Премия по акции ""Приведи друга""; Скидки на продукцию компании в салонах сети HENDERSON; Корпоративное обучение; Карьерный рост в соответствии с профессиональными навыками и достижениями. Что нужно будет делать: Консультировать и оформлять заказы на индивидуальный пошив (Su Misura); Проводить первичные замеры и примерки; Осуществлять швейные операции по «посадке» готовых изделий по фигуре клиента в уютном, оборудованном рабочем месте; Поддерживать порядок и чистоту зоне стилиста; Консультировать и помогать покупателям подобрать одежду, соответствующую их стилю. Что требуется: Наличие опыта работы по конструированию, ремонту и/или пошиву одежды; Опыт работы с М2 М будет преимуществом; Законченное профессиональное образование по специальностям: портной, закройщик мужской одежды, модельер, конструктор и швея; Быть опытным пользователем ПК; Умение посадить изделие по фигуре; Готовность поддерживать высокий уровень обслуживания; Доброжелательность и готовность помогать людям; Возможно мы ждем именно тебя!  Приветствуется, но не обязателен опыт работы менеджер, менеджер по работе с клиентами, продавец-кассир, администратора, оператор колл-центра, администратор, консультант, без опыта, Европарк, Молодежная, Крылатское работа, магазин, Спортмастер, Coccinelle, М.Видео, EKONIKA, Л’Окситан, Calzedonia, CONSO, Falconeri, Elena Miro, Camp David, Erborian, Clarks, ASH, CACHAREL, Colin's, ELEGANZZA, Elisabetta Franchi, BORK, DIM, belle you, JEANS CLUB, 12 STOREEZ, ECCO, GANT, Eterna, Beba Kids, 5LB, Furla, BRUSNIKA, Aldo, Art Auro, FALKE, Еmka, ИЛЬ ДЕ БОТЭ, Kixbox, Street Beat, ОРТЕКА, DIAMOND DISTRICT, Royal Rabbit, OILIO, NetWork, ROBINZON, Togas, MARELLA, TOPTOP, YOKO, ILCOTT, Divno, Liu Jo, JNS, SOKOLOV, LOFT, Глория Джинс, CHARUEL, LC Waikiki, Lamoda, Karl Lagerfeld Jeans, Wolford, TRND, Стокманн, Uniize, Intimissimi, Sela, Л'Этуаль, PINKO, United Colors of Benetton, Адамас, Glenfield, TEZENIS, Rendez-Vous, Детский мир, U.S. Polo Assn., MAAG, Снежная Королева, MANGO, Lichi, Marc & Andre, Подружка, SUNLIGHT, Guess, РИВ ГОШ. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/portnoj-stilist-50703464.html
Администратор салона красоты,до 70 000 ₽/месяц,Опыт не нужен, полная занятость,Ищем кандидата из: г. Москва и др. городов,"Вакансии Администратор салона красоты Администратор салона красоты до 70 000 ₽/месяц Опыт не нужен Ищем кандидата из: г. Москва и др. городов Москва, Ибрагимова, д. 5А Семёновская Опыт работы не требуется, полная занятость Jobers Клиент SuperJob с 2022 года До 50 сотрудников JOBERS – ваш надежный партнер в мире занятости! Уже более 5 лет мы помогаем успешному бизнесу в России находить лучших сотрудников, а... Вакансия компании: Салон красоты ""Кудри Хауз"" Мы – сеть профильных салонов красоты «Кудри Хауз». Наш профиль – современные завивки и окрашивания. Более пяти лет дарим положительные эмоции нашим гостям и сотрудникам. Мы открываем новый салон, поэтому приглашаем Вас на должность «администратор салона красоты"". Откликайтесь, будем рады встрече! Предлагаем: График работы 2/2 с 10.00 до 21.00. Стабильная заработная плата 70 000 руб./месяц. Своевременная выплата. Место работы в пешей доступности от станции метро. Развитие навыков коммуникации с клиентами для профессионального роста. Слаженный в работе, дружный коллектив единомышленников, любящих завивки. Обучение знанию услуг, оказываемых салоном. Поддержка в работе с программой учета клиентов. Оборудованное рабочее место для комфортной работы. Наши пожелания: Грамотная, дружелюбная, приятная речь в общении с клиентами устно и письменно. Клиентоориентированность, заинтересованность в личностном и карьерном росте, а так же росте компании. Стремление к обучению для беглого ориентирования в услугах, оказываемых салоном. Поддержание позитивного общения внутри коллектива. Уверенное владение ПК (ОС WINDOWS, сервисы электронной почты, серфинг в интернет-браузерах) и смартфоном (мессенджеры, почтовые клиенты), элементарное владение Microsoft Excel, Microsoft Word. Готовность обучаться навыкам работы в программе учета клиентов (google-таблицы, CRM). Внимательность и уверенность при работе с программой учета клиентов. Вам предстоит: Вести запись клиентов в программе учета клиентов (общаясь с клиентами по телефону, в мессенджерах, социальных сетях). Обеспечивать равномерную загрузку мастеров. Запрашивать у мастеров информацию об оказанной услуге и вносить в программу. Своевременно обрабатывать поступающие заявки от клиентов из всех каналов коммуникации (вебсайт, мессенджеры, телефон, социальные сети). Быстро, грамотно и доходчиво отвечать на поступающие заявки, вопросы и комментарии от клиентов во всех каналах связи (мессенджеры, телефон, социальные сети). Бегло ориентироваться в услугах салона. Обоснованно предлагать альтернативные услуги при отсутствии запрашиваемой клиентом. Напоминать клиенту о посещении. Разъяснять условия выполнения процедуры (время, материалы, стоимость). Выяснять причину отмены предварительной записи и вносить сведения в программу учета клиентов. Быть проактивным, но не навязчивым. Предлагать клиенту обращаться удобным способом в будущем, если не нашлось подходящей услуги, времени визита или условий для оказания услуги на момент обращения. Создавать комфортную гостеприимную атмосферу в салоне за счет дружелюбного обслуживания. Встречать и провожать гостей салона, поддерживать ненавязчивую дружелюбную беседу. Запрашивать у клиентов обратную связь о выполненных услугах, уметь работать с возражениями и претензиями. Своевременно вносить данные в систему управления предприятием, информировать руководство о жалобах, предложениях. Оперативно решать вопросы по хозяйственной деятельности салона, фиксировать поломки. Контролировать соблюдение чистоты, санитарных норм и норм пожарной безопасности. Присылайте свои резюме для записи на собеседование! Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-50749045.html
Администратор в салон красоты,от 50 000 ₽/месяц,Опыт не нужен,,Санкт-Петербург,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор салона красоты Администратор в салон красоты от 50 000 ₽/месяц Опыт не нужен Санкт-Петербург Горьковская  и ещё 2 станции Показать на карте Опыт работы не требуется, сменный график работы РИВ ГОШ 7.7 Клиент SuperJob с 2008 года Более 5 000 сотрудников Сегодня РИВ ГОШ - это: ТОП-3 России среди сетей парфюмерии и косметики 250+ магазинов по всей России от Калининграда до... М. Петроградская TOP-3 РОССИИ - СЕТЬ МАГАЗИНОВ КОСМЕТИКИ И ПАРФЮМЕРИИ ПРИГЛАШАЕТ В КОМАНДУ АДМИНИСТРАТОРА САЛОНА КРАСОТЫ МЫ ПРЕДЛАГАЕМ РАБОТАТЬ В УДОВОЛЬСТВИЕ, А ЕЩЕ: Сменный график работы 2/2 с 10:00 до 21:00 Стабильная, конкурентоспособная зарплата без ""потолка"": оклад+% Обучение от ведущих парфюмерных и косметических брендов, возможность всегда быть в тренде beauty-новинок Развитая культура признания результатов: призы от брендов и подарки от РИВ ГОШ Эксклюзивная карта сотрудника: скидки до 50% на продукцию в магазинах сети Возможность профессионального развития и карьерного роста И конечно, в РИВ ГОШ официальное трудоустройство по ТК РФ с первого рабочего дня, социальные гарантии: оплачиваемый отпуск‚ больничный, полностью ""белый"" доход МЫ ЖДЕМ ТЕБЯ, ЕСЛИ ТЫ: коммуникабелен, имеешь грамотную речь желаешь работать и развиваться в beauty-индустрии ТЕБЕ ПРЕДСТОИТ: Вести запись и расчет клиентов; Работа в программе 1C (составление карточек обслуживания), проведение инвентаризации; Консультирование клиентов по услугам и товарам в салоне красоты; Контроль за чистотой в салоне в рабочие дни, контроль обслуживания клиентов мастерами. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Чат",https://russia.superjob.ru/vakansii/administrator-v-salon-krasoty-50683038.html
Администратор салона для животных,от 100 000 ₽/месяц,Опыт работы от 1 года,,Ищем кандидата из: г. Москва и др. городов,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор в салон Администратор салона для животных от 100 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Московская область, Одинцовский городской округ, посёлок городского типа Заречье, Луговая улица, 6к1 Опыт работы от 1 года, сменный график работы PETMANIA Клиент SuperJob с 2025 года До 50 сотрудников Салон для животных (груминг). Обязанности: Отвечать на звонки, вести запись клиентов; Консультирование владельцев по уходу за собаками и кошками, а также по услугам салона; Вести соцсети (фотографировать работы мастеров, выкладывать их, публиковать информацию о салоне, отвечать на сообщения); Поддерживать порядок в зоне ресепшен в течение дня. Требования: Любовь к животным, Пунктуальность и дружелюбие; Вежливое и корректное общение с владельцами питомцев; Опрятность. Условия: светлый, просторный новый салон в престижном районе ( Сколково); Организована комната для персонала (небольшая кухня); Предоставляем комплект формы для работы; График работы 2/2 с 10:00 до 20:00 (с весны до 21:00); Оплата: фиксированный за выход 3500₽ + % от продаж товаров салона. Профессиональные навыки Пунктуальность Доброжелательность Опрятность работа с клиентом Запись клиентов Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-salona-dlya-zhivotnyh-50398807.html
Администратор торгового зала,от 50 000 ₽/месяц,Опыт работы от 1 года, полная занятость,Ищем кандидата из: г. Москва и др. городов,"Продажи Мебель Администратор торгового зала Администратор торгового зала от 50 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Челябинск, улица Дарвина, 2 Опыт работы от 1 года, полная занятость Платов А. А. Клиент SuperJob с 2024 года До 50 сотрудников Продажи обоев. ИП ""Платов"" - заказчик Компании SOLO. SOLO – крупнейшая Компания на обойном рынке, эксклюзивный представитель итальянской фабрики Emiliana Parati, производитель уникальных коллекций обоев на российских фабриках. SOLO - это стабильность и развитие. Розница SOLO – 7 салонов, а так же 17 фирменных точек продаж в коллаборации с Леруа Мерлен в Москве и 10 в других регионах. Оформление сделок в 1C, регистрация продаж с использованием ККМ, взаиморасчеты с покупателями, Ведение отчетности в утвержденном виде, Коммуникации с покупателями, отвечать на телефонные звонки. Требования: Презентабельная внешность, Умение общаться с клиентами, Умение работать в 1C приветствуется, но необязательно, Персональный наставник для обучения с первого дня работы. Условия работы: 5-дневная рабочая неделя с 8-часовым рабочим днем, выходные дни пятница, суббота. Официальное оформление, соблюдение ТК ( отпуск, оплата б/л ), Доход от 50 000 руб. ( оклад + премии от оборота магазина, + премия за выполнение плана продаж магазина, + премии индивидуальные ). Профессиональные навыки Грамотная речь Ответственность Коммуникабельность Исполнительность Материальная ответственность Работа с кассой Вежливость Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-torgovogo-zala-49948954.html
Администратор в спа-салон,от 80 000 ₽/месяц,Опыт не нужен,,"Москва, Рубцовская набережная, 2к2","Администратор в спа салон Администратор в спа-салон от 80 000 ₽/месяц Отклик без резюме Опыт не нужен Москва, Рубцовская набережная, 2к2 Бауманская Показать на карте Опыт работы не требуется, сменный график работы ООО ""КИНАРИ СПА"" Сеть Кинари СПА относится к ведущим салонам Москвы в области здоровья и красоты. Мы предлагаем услуги тайского массажа и СПА-процедур по уходу за телом.  “Кинари СПА” — одна из ведущих сетей салонов в Москве, специализирующаяся на высококлассных тайских массажах и СПА-процедурах. Наши гости ценят качество, комфорт и профессионализм, а мы — членов нашей команды, которые стремятся дарить клиентам незабываемые впечатления. Почему стоит к нам присоединиться? Достойная зарплата от 80.000р (фикс 8000р. за смену + % от личных продаж + % от выручки салона). Удобный суточный график 1/3, с 10:00 утра до 10:00 утра. Подберем для вас салон более подходящий по расположению - у нас 14 филиалов по Москве и в Подмосковье! Возможность брать дополнительные смены для увеличения заработка. Официальное оформление по ТК Скидка 50% на бьюти-услуги для личного ухода и релакса. Красивая, удобная униформа, отражающая статус салона. Быстрый ввод в должность. Позитивная, отзывчивая команда и вдохновляющая рабочая обстановка. Что для нас важно: Вы понимаете, что значит качественный клиентский сервис. Чистый, уверенный язык для общения с гостями. Активный, жизнерадостный и открытый подход к людям. Ответственность: умение самостоятельно принимать решения и решать задачи оперативно. Ваши задачи: Организация и поддержание работы салона. Встреча, консультация и сопровождение гостей. Поддержание гостеприимной атмосферы. Ведение записей в программу (обучаем). Продажа сертификатов и уходовой косметики. Контроль расходных материалов. Если вы хотите быть частью команды, которая ценит красоту, комфорт и профессионализм, и развиваться вместе с лидером рынка, присылайте свое резюме прямо сейчас! Дополнительные преимущества: Помощь с переездом, проживание Скидки в компании Спецодежда Обучение, тренинги Ключевые навыки: Деловой этикет",https://russia.superjob.ru/vakansii/administrator-v-spa-salon-50720093.html
Продавец-консультант выходного дня (Аутлет Белая Дача),от 45 000 ₽/месяц,Опыт не нужен, занятость 20-30 часов в неделю (преимущественно в выходные дни);,Котельники,"Вакансии Продажи Продукты питания Продавец-консультант выходного дня (Аутлет Белая Дача) от 45 000 ₽/месяц Опыт не нужен Котельники Показать на карте Опыт работы не требуется, среднее образование, сменный график работы Дом Моды HENDERSON Клиент SuperJob с 2004 года Более 1 000 сотрудников Дом моды HENDERSON более 20 лет предлагает мужчинам элегантную и стильную одежду для работы и отдыха. Сегодня HENDERSON присутствует более... С Домом Моды HENDERSON Вас ждет: официальное трудоустройство с 1 дня и достойное вознаграждение (оклад и премия, личный бонус, премии за конкурсы), все социальные выплаты и гарантии; широкая география салонов в ведущих торговых центрах страны; график работы гибкий, занятость 20-30 часов в неделю (преимущественно в выходные дни); полис ДМС со стоматологией ( от 6 месяцев работы в Компании); удобная и стильная корпоративная форма; компенсация оформления медицинской книжки; премия по акции ""Приведи друга""; VIP карта клуба привилегий на продукцию Компании. Преимущества работы в Компании: работа в лидирующей сети модной мужской одежды премиального качества; новые знания о современных тенденциях в мире моды и стиля, принципам формирования гардероба и образа; корпоративное обучение в удобном формате в онлайн-Академии HENDERSON, помощь наставника и карьерный рост; Продавец-консультант Дома Моды Henderson: помогает подобрать уникальный образ, консультируя Клиентов по стилю и ассортименту; обеспечивает высокий уровень сервиса и стандартов обслуживания Клиента;  Вам интересен мир моды и Вы хотите стать экспертом, помогать мужчинам выглядеть модно и современно, готовы работать в профессиональной команде единомышленников - Дом Моды HENDERSON с радостью ждет Вас! Мы уверенно движемся вперед. Оставляйте свой отклик. Присоединяйтесь! Рассматриваем кандидатов без опыта работы! Приветствуется, но не обязателен опыт работы менеджер, менеджер по работе с клиентами, продавец-кассир, администратора, оператор колл-центра, администратор, консультант, без опыта, Европарк, Молодежная, Крылатское работа, магазин, Спортмастер, Coccinelle, М.Видео, EKONIKA, Л’Окситан, Calzedonia, CONSO, Falconeri, Elena Miro, Camp David, Erborian, Clarks, ASH, CACHAREL, Colin's, ELEGANZZA, Elisabetta Franchi, BORK, DIM, belle you, JEANS CLUB, 12 STOREEZ, ECCO, GANT, Eterna, Beba Kids, 5LB, Furla, BRUSNIKA, Aldo, Art Auro, FALKE, Еmka, ИЛЬ ДЕ БОТЭ, Kixbox, Street Beat, ОРТЕКА, DIAMOND DISTRICT, Royal Rabbit, OILIO, NetWork, ROBINZON, Togas, MARELLA, TOPTOP, YOKO, ILCOTT, Divno, Liu Jo, JNS, SOKOLOV, LOFT, Глория Джинс, CHARUEL, LC Waikiki, Lamoda, Karl Lagerfeld Jeans, Wolford, TRND, Стокманн, Uniize, Intimissimi, Sela, Л'Этуаль, PINKO, United Colors of Benetton, Адамас, Glenfield, TEZENIS, Rendez-Vous, Детский мир, U.S. Polo Assn., MAAG, Снежная Королева, MANGO, Lichi, Marc & Andre, Подружка, SUNLIGHT, Guess, РИВ ГОШ. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/prodavec-konsultant-vyhodnogo-dnya-49998194.html
Администратор салона красоты,от 40 000 ₽/месяц,Опыт работы от 1 года,,Воронеж,"Административная работа, секретариат, АХО Секретариат, ресепшн, офис-менеджмент Администратор салона красоты Администратор салона красоты от 40 000 ₽/месяц Воронеж Показать на карте Опыт работы от 1 года, сменный график работы ALLURE эстетик - центр Клиент SuperJob с 2011 года До 50 сотрудников Эстетик - Центр премиум-класса в центре города. Центр ALLURE создан, чтобы помочь стать красивее и успешнее. СЕРВИС - главное слово в... Обязанности: Работа с клиентами Работа с программой Входящие/исходящие звонки Продажи Работа с персоналом Работа с документами Требования: Дружелюбие, ответственность, пунктуальность, порядочность Умение работать с клиентами, выходить из конфликтных ситуаций Навыки продаж Желание работать и развиваться Работа в коллективе Условия: График 2/2 с 9 до 21 Оформление по ТК РФ Работа в центре города в дружном профессиональном коллективе и красивом месте Профессиональные навыки Уверенный пользователь ПК Кассовые операции Навыки продаж Грамотная устная и письменная речь Клиентоориентированность Кассовые документы Откликнуться Позвонить",https://russia.superjob.ru/vakansii/administrator-salona-krasoty-46600150.html
Старший продавец-кассир (Мега Белая Дача),от 80 000 ₽/месяц,Опыт не нужен, полная занятость,Котельники,"Вакансии Продажи Текстиль, одежда, обувь Старший продавец-кассир (Мега Белая Дача) от 80 000 ₽/месяц Опыт не нужен Котельники Показать на карте Опыт работы не требуется, среднее образование, полная занятость Дом Моды HENDERSON Клиент SuperJob с 2004 года Более 1 000 сотрудников Дом моды HENDERSON более 20 лет предлагает мужчинам элегантную и стильную одежду для работы и отдыха. Сегодня HENDERSON присутствует более... Что мы предлагаем: официальное трудоустройство; работа в лидирующей сети модной мужской одежды; гибкий график работы: 5/2, 40 часов в неделю, 2 выходных дня по скользящему графику; полис ДМС (по истечении 3 месяцев работы в Компании) оплачиваемые больничные и отпуска; корпоративное обучение; униформа; достойное вознаграждение в соответствии с достигнутыми результатами (гарантированный оклад + ежемесячные премии + личный бонус); карьерный рост в соответствии с профессиональными навыками и достижениями; премия по акции ""Приведи друга""; скидки на продукцию компании в салонах сети HENDERSON. Наш старший продавец-кассир: консультирует клиентов по стилю и ассортименту; помогает покупателям подобрать одежду, соответствующую их индивидуальности; обслуживает клиентов на кассе; работает в прикассовой зоне и ведет кассовую отчетность; работает с интернет-заказами; поддерживает порядок и чистоту в салоне и в кассовой зоне; обеспечивает высокий уровень обслуживания. Что ждем от кандидата: законченное среднее образование; желание стать экспертом в мире моды; доброжелательность и готовность помогать людям; активность и ответственность. Возможно мы ждем именно тебя! Приветствуется, но не обязателен опыт работы менеджер, менеджер по работе с клиентами, продавец-кассир, администратора, оператор колл-центра, администратор, консультант, кассир, товаровед, ЦУМ, GOLDEN BABYLON, GEOX, Armani Exchange, 20LINE, Elis, Poli Dress, Koton, Concept Club, Gloria Jeans, LALI, Lime, MODER, Mustang, Marc Cony, Ostin, Oodji, Savage, SOGO, Tom Tailor, TRUVOR, Zarina, Zolla, Спортмастер, Coccinelle, М.Видео, EKONIKA, Л’Окситан, Calzedonia, CONSO, Falconeri, Elena Miro, Camp David, Erborian, Clarks, ASH, CACHAREL, Colin's, ELEGANZZA, Elisabetta Franchi, BORK, DIM, belle you, JEANS CLUB, 12 STOREEZ, ECCO, GANT, Eterna, Beba Kids, 5LB, Furla, BRUSNIKA, Aldo, Art Auro, FALKE, Еmka, ИЛЬ ДЕ БОТЭ, Kixbox, Street Beat, ОРТЕКА, DIAMOND DISTRICT, Royal Rabbit, OILIO, NetWork, ROBINZON, Togas, MARELLA, TOPTOP, YOKO, ILCOTT, Divno, Liu Jo, JNS, SOKOLOV, LOFT, Глория Джинс, CHARUEL, LC Waikiki, Lamoda, Karl Lagerfeld Jeans, Wolford, TRND, Стокманн, Uniize, Intimissimi, Sela, Л'Этуаль, PINKO, United Colors of Benetton, Адамас, Glenfield, TEZENIS, Rendez-Vous, Детский мир, U.S. Polo Assn., MAAG, Снежная Королева, MANGO, Lichi, Marc & Andre, Подружка, SUNLIGHT, Guess, РИВ ГОШ Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/starshij-prodavec-kassir-50726224.html
Специалист по работе с клиентами,70 000 — 110 000 ₽/месяц,Опыт не нужен,,Санкт-Петербург,"Вакансии Продажи Бытовая техника, электроника, фото, видео Специалист по работе с клиентами 70 000 — 110 000 ₽/месяц Отклик без резюме Опыт не нужен Санкт-Петербург Показать на карте Опыт работы не требуется, среднее специальное образование, сменный график работы Билайн Клиент SuperJob с 2006 года Более 5 000 сотрудников Билайн — это современный и открытый работодатель с возможностями развития для сотрудников разных направлений. Самым ценным активом... Мы предлагаем: ДМС со стоматологией Оплату мобильной связи на 1500 в месяц 2 дополнительных дня отпуска от компании – всего 30 отпускных дней Скидки для сотрудников на технику и продукты билайна Оформление на трудовой договор Доход, состоящий из окладной и премиальной частей Офис рядом с домом График работы 5/2 с плавающими выходными В нашем офисе обслуживания ты будешь: Консультировать клиентов Настраивать тарифы абонентам билайна Подключать услуги и сервисы Опыт в продажах не требуется. У тебя будет мобильное приложение, в котором есть все характеристики гаджетов и тарифов. Ты сможешь легко отвечать на любые вопросы клиентов. Приступить к работе можно всего за 3 дня: 1. Нажми «откликнуться» и мы перезвоним в течение рабочего дня 2. Пригласим в ближайший офис для встречи с руководителем 3. Подпишем договор Будет преимуществом опыт работы в должностях: менеджер по работе с клиентами, специалист салона связи, администратор, кассир, сервисный специалист, мерчандайзер, кредитный специалист, оператор колл центра, курьер, менеджер по продажам, продавец-консультант, специалист по продажам, менеджер офиса продаж, промоутер. Тебе понравится в билайне, если работал в компаниях: Яндекс, СБЕР, Тинькофф, Пятерочка, Магнит, Самокат, Яндекс Доставка, OZON, Wildberries, Вкусно – и точка, KFC, Burger King, М.Видео, Эльдорадо, ДНС, DNS, Ситилинк, МТС, Мегафон, Теле2, Связной, Ростелеком. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/specialist-po-rabote-s-klientami-50694202.html
